				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Testudinidae	Pyxis	planicauda	Pyxis planicauda	0	0	1	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	carbonaria	Chelonoidis carbonaria	1	1	1	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	dendiculata	Chelonoidis dendiculata	1	1	0	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	chilensis	Chelonoidis chilensis	0	0	1	1	0	0	0	1	0	0
Testudinidae	Chelonoidis	chathamensis 	Chelonoidis chathamensis	0	1	0	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	ephyppium	Chelonoidis ephyppium	0	1	0	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	porteri	Chelonoidis porteri	0	1	0	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	abingdoni	Chelonoidis abingdoni	0	1	0	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	hoodensis	Chelonoidis hoodensis	0	1	0	0	0	0	0	0	0	0
Testudinidae	Chelonoidis	niger	Chelonoidis niger	0	1	0	0	0	0	0	0	0	0
Testudinidae	Manouria 	emys	Manouria emys	1	0	0	0	0	0	0	0	0	0
Testudinidae	Manouria 	impressa	Manouria impressa	1	1	0	0	0	0	0	0	0	0
Testudinidae	Centrochelys	sulcata	Centrochelys sulcata	0	1	1	1	0	0	0	0	0	0
Testudinidae	Chersobius	solus	Chersobius solus	0	0	0	1	0	0	0	0	0	0
Geoemydidae	Siebenrockiella	crassicollis	Siebenrockiella crassicollis	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Siebenrockiella	leytensis	Siebenrockiella leytensis	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Malayemys	subtrijuga	Malayemys subtrijuga	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Malayemys	khoratensis 	Malayemys khoratensis	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Malayemys	macrocephala	Malayemys macrocephala	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Orlitia	borneensis	Orlitia borneensis	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Geoclemys	hamiltonii	Geoclemys hamiltonii	1	1	0	1	0	0	0	0	0	0
Geoemydidae	Morenia 	ocellata	Morenia ocellata	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Morenia 	petersi	Morenia petersi	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Pangshura	sylhetensis	Pangshura sylhetensis	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Pangshura	tecta	Pangshura tecta	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Pangshura	smithii	Pangshura smithii	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Pangshura	tentoria	Pangshura tentoria	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Hardella	thurjii	Hardella thurjii	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Batagur	borneoensis	Batagur borneoensis	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Batagur	trivittata	Batagur trivittata	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Batagur	dhongoka	Batagur dhongoka	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Batagur	baska	Batagur baska	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Batagur	kachuga	Batagur kachuga	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Batagur	affinis	Batagur affinis	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	rubida	Rhinoclemmys rubida	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	pulcherrima	Rhinoclemmys pulcherrima	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	annulata	Rhinoclemmys annulata	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	areolata	Rhinoclemmys areolata	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	punctularia	Rhinoclemmys punctularia	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	diademata	Rhinoclemmys diademata	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	funerea	Rhinoclemmys funerea	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	melanosterna	Rhinoclemmys melanosterna	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Rhinoclemmys	nasuta	Rhinoclemmys nasuta	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Melanochelys 	trijuga	Melanochelys trijuga	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Melanochelys 	tricarinata	Melanochelys tricarinata	0	1	1	0	0	0	0	0	0	0
Geoemydidae	Vijayachelys	silvatica	Vijayachelys silvatica	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Leucocephalon	yuwonoi	Leucocephalon yuwonoi	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Notochelys	platynota	Notochelys platynota	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Heosemys	spinosa	Heosemys spinosa	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Heosemys	depressa	Heosemys depressa	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Heosemys	annandalii	Heosemys annandalii	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Heosemys	grandis	Heosemys grandis	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Sacalia 	bealei	Sacalia bealei	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Sacalia 	quadriocellata	Sacalia quadriocellata	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cyclemys 	atripons	Cyclemys atripons	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cyclemys 	pulchristriata	Cyclemys pulchristriata	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cyclemys 	dentata	Cyclemys dentata	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Cyclemys 	fusca	Cyclemys fusca	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Cyclemys 	oldhami	Cyclemys oldhami	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Cyclemys 	enigmatica	Cyclemys enigmatica	1	0	0	0	0	0	0	0	0	0
Geoemydidae	Cyclemys 	gemeli	Cyclemys gemeli	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Geoemyda	japonica	Geoemyda japonica	0	0	0	0	0	1	0	0	0	0
Geoemydidae	Geoemyda	spengleri	Geoemyda spengleri	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Mauremys	annamensis	Mauremys annamensis	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Mauremys	mutica	Mauremys mutica	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Mauremys	sinensis	Mauremys sinensis	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Mauremys	nigricans	Mauremys nigricans	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Mauremys	reevesii	Mauremys reevesii	0	1	0	0	0	1	1	0	0	0
Geoemydidae	Mauremys	japonica	Mauremys japonica	0	0	0	0	0	1	0	0	0	0
Geoemydidae	Mauremys	leprosa	Mauremys leprosa	0	0	0	1	1	0	0	0	0	0
Geoemydidae	Mauremys	caspica	Mauremys caspica	0	0	0	1	1	1	1	1	0	0
Geoemydidae	Mauremys	rivulata	Mauremys rivulata	0	0	0	0	1	0	1	0	0	0
Geoemydidae	Cuora	mouhotii	Cuora mouhotii	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	amboinensis	Cuora amboinensis	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	bourreti	Cuora bourreti	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	picturata	Cuora picturata	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	galbinifrons	Cuora galbinifrons 	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	yunnanensis	Cuora yunnanensis	1	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	zhoui	Cuora zhoui	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	flavomarginata	Cuora flavomarginata	0	0	0	0	0	1	0	0	0	0
Geoemydidae	Cuora	aurocapitata	Cuora aurocapitata	0	0	0	0	0	1	0	0	0	0
Geoemydidae	Cuora	pani	Cuora pani	0	1	0	0	0	1	0	0	0	0
Geoemydidae	Cuora	mccordi	Cuora mccordi	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	trifasciata	Cuora trifasciata	0	1	0	0	0	0	0	0	0	0
Geoemydidae	Cuora	cyclornata	Cuora cyclornata	0	1	0	0	0	0	0	0	0	0
