				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Chelidae	Chelodina	burrungandjii	Chelodina burrungandjii	0	1	1	0	0	0	0	0	0	0
Chelidae	Chelodina	rugosa	Chelodina rugosa	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	longicollis	Chelodina longicollis	0	1	0	0	0	1	1	0	0	0
Chelidae	Chelodina	steindachneri	Chelodina steindachneri	0	0	0	1	0	0	0	0	0	0
Chelidae	Chelodina	mccordi	Chelodina mccordi	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	gunaleni	Chelodina gunaleni	1	0	0	0	0	0	0	0	0	0
Chelidae	Chelodina	novaeguineae	Chelodina novaeguineae	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	canni	Chelodina canni	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	reimanni	Chelodina reimanni	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	pritchardi	Chelodina pritchardi	1	0	0	0	0	0	0	0	0	0
Chelidae	Chelodina	kuchlingi	Chelodina kuchlingi	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	kurrichalpongo	Chelodina kurrichalpongo	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	walloyarrina	Chelodina walloyarrina	0	1	0	0	0	0	0	0	0	0
Chelidae	Chelodina	oblonga	Chelodina oblonga	0	0	0	0	0	0	0	0	0	0
Chelidae	Myuchelys 	purvisi	Myuchelys purvisi	0	0	0	0	0	1	0	0	0	0
Chelidae	Myuchelys 	bellii	Myuchelys bellii	0	1	0	0	0	0	0	0	0	0
Chelidae	Myuchelys 	latisternum	Myuchelys latisternum	0	1	0	0	0	1	0	0	0	0
Chelidae	Myuchelys 	georgesi	Myuchelys georgesi	0	0	0	0	0	1	0	0	0	0
Chelidae	Elusor	macrurus	Elusor macrurus	0	0	0	0	0	1	0	0	0	0
Chelidae	Rheodytes	leukops	Rheodytes leukops	0	1	0	0	0	0	0	0	0	0
Chelidae	Emydura	macquarii	Emydura macquarii	0	0	1	1	1	0	0	0	0	0
Chelidae	Emydura	victoriae	Emydura victoriae	0	1	1	0	0	0	0	0	0	0
Chelidae	Emydura	subglobosa	Emydura subglobosa	1	1	0	0	0	0	0	0	0	0
Chelidae	Emydura	tanybaraga	Emydura tanybaraga	0	1	0	0	0	0	0	0	0	0
Chelidae	Emydura	gunaleni	Emydura gunaleni	1	0	0	0	0	0	0	0	0	0
Chelidae	Elseya	albagula 	Elseya albagula	0	1	0	0	0	0	0	0	0	0
Chelidae	Elseya	irwini	Elseya irwini	0	1	0	0	0	0	0	0	0	0
Chelidae	Elseya	lavarackorum	Elseya lavarackorum	0	1	1	0	0	0	0	0	0	0
Chelidae	Elseya	novaeguineae	Elseya novaeguineae	1	1	0	0	0	0	0	0	0	0
Chelidae	Elseya	dentata	Elseya dentata	0	1	0	0	0	0	0	0	0	0
Chelidae	Elseya	branderhosti	Elseya branderhorsti	0	1	0	0	0	0	0	0	0	0
Chelidae	Elseya	flaviventralis	Elseya flaviventralis	0	1	0	0	0	0	0	0	0	0
Chelidae	Elseya	rhodini	Elseya rhodini	1	1	0	0	0	0	0	0	0	0
Chelidae	Elseya	schultzei	Elseya schultzei	1	0	0	0	0	0	0	0	0	0
Chelidae	Rhinemys	rufipes	Rhinemys rufipes	1	0	0	0	0	0	0	0	0	0
Chelidae	Pseudemydura	umbrina	Pseudemydura umbrina	0	0	0	0	1	0	0	0	0	0
Carettochelyidae	Carettochelys	insculpta	Carettochelys insculpta	1	1	0	0	0	0	0	0	0	0
Trionychidae	Cyclanorbis	senegalensis	Cyclanorbis senegalensis	1	1	0	0	0	0	0	0	0	0
Trionychidae	Cyclanorbis	elegans	Cyclanorbis elegans	0	1	0	0	0	0	0	0	0	0
Trionychidae	Cycloderma	aubryi	Cycloderma aubryi	1	1	0	0	0	0	0	0	0	0
Trionychidae	Cycloderma	frenatum	Cycloderma frenatum	0	1	0	0	0	0	0	0	0	0
Trionychidae	Lissemys	punctata	Lissemys punctata	0	1	1	0	0	0	0	0	0	0
Trionychidae	Lissemys	scutata	Lissemys scutata	1	1	0	0	0	0	0	0	0	0
Trionychidae	Lissemys	ceylonensis	Lissemys ceylonensis	1	1	0	0	0	0	0	0	0	0
Trionychidae	Trionyx	triunguis	Trionyx triunguis	1	1	0	0	0	0	0	0	0	0
Trionychidae	Pelochelys	bibroni	Pelochelys bibroni	1	1	0	0	0	0	0	0	0	0
Trionychidae	Pelochelys	cantorii	Pelochelys cantorii	1	1	0	0	0	0	0	0	0	0
Trionychidae	Pelochelys	signifera	Pelochelys signifera	1	0	0	0	0	0	0	0	0	0
Trionychidae	Chitra	indica	Chitra indica	0	1	1	0	0	0	0	0	0	0
Trionychidae	Chitra	vandijki	Chitra vandijki	1	0	0	0	0	0	0	0	0	0
Trionychidae	Chitra	chitra	Chitra chitra	1	0	0	0	0	0	0	0	0	0
Trionychidae	Rafetus	swinhoei	Rafetus swinhoei	0	1	0	0	0	1	0	0	0	0
Trionychidae	Rafetus	euphraticus	Rafetus euphraticus	0	0	0	1	0	0	0	0	0	0
Trionychidae	Apalone	mutica	Apalone mutica	0	0	0	0	0	0	1	1	0	0
Trionychidae	Apalone	ferox	Apalone ferox	0	1	0	0	0	1	0	0	0	0
Trionychidae	Apalone	spinifera	Apalone spinifera	0	1	0	0	0	1	1	1	0	0
Trionychidae	Pelodiscus	sinensis	Pelodiscus sinensis	0	0	0	0	0	1	1	0	0	0
Trionychidae	Pelodiscus	axenaria	Pelodiscus axenaria	0	1	0	0	0	1	0	0	0	0
Trionychidae	Pelodiscus	huangshanensis	Pelodiscus huangshanensis	0	0	0	0	0	1	0	0	0	0
Trionychidae	Pelodiscus	maackii	Pelodiscus maackii	0	0	0	0	0	0	1	0	0	0
Trionychidae	Pelodiscus	parviformis	Pelodiscus parviformis	0	1	0	0	0	0	0	0	0	0
Trionychidae	Pelodiscus	variegatus	Pelodiscus variegatus	0	1	0	0	0	0	0	0	0	0
Trionychidae	Palea	steindachneri	Palea steindachneri	0	1	0	0	0	0	0	0	0	0
Trionychidae	Dogania 	subplana	Dogania subplana	1	1	0	0	0	0	0	0	0	0
